End of Inspection,Plant,Region,Supplier,,Inspection Lot No.,Quantity (USG),"010A COLOR, SAYBOLT","010B COLOR,",100C TOTAL ACID NUMBER MG KOH/G,110A AROMATICS % VOL,130 MERCAPTAN SULFUR,140 DOCTOR TEST,150A SULFUR - OXYGEN BOMB %(M),150B TOTAL SULFUR %(M),150D SULFUR - X-RAY %(M),150E TOTAL SULFUR %(M),150F SULFUR - X-RAY FLUORESCENCE %(M),"150G SULFUR, TOTAL  %(M)","150IPA SULFUR, TOTAL",160A HYDROGEN CONTENT %(M),160B HYDROGEN CONTENT %(M),160E HYDROGEN CONTENT,020 APPEARANCE,200A TEST METHOD D86,200B TEST METHOD D2887,201 DIST TEMP:  INITIAL BOILING POINT,202 DIST TEMP:  10% EVAPORATED,203 DIST TEMP:  20% EVAPORATED,204 DIST TEMP:  50% EVAPORATED,206 DIST TEMP: 90% EVAPORATED,021 APPEARANCE,211 DIST TEMP: FINAL BOILING POINT,213 DIST TEMP: RESIDUE,214 DIST TEMP: LOSS,220A FLASH POINT,220B FLASH POINT,220C FLASH POINT,220IPA FLASH POINT,230A DENSITY @ 15蚓 KG/L,230B SPECIFIC GRAVITY @ 60/60蚌  KG/L,231B API GRAVITY - DIGITAL (API),300A FREEZING POINT,300C FREEZING POINT,300E FREEZING POINT,300F FREEZING POINT,310 VISCOSITY @ -54蚓 (MM2/S),231A API GRAVITY,400C NET HEAT OF COMBUSTION MJ/KG,400D NET HEAT OF COMBUSTION MJ/KG,400E NET HEAT OF COMBUSTION MJ/KG,420 SMOKE POINT MM,500 COPPER STRIP CORROSION (2 H @ 100蚓),600A THERMAL STABILITY @ 275C,600B THERMAL STABILITY @ 260C,601 CHANGE IN PRESSURE,"602 TUBE DEPOSIT RATING, VISUAL",602A ELLIPSOMETRIC TUBE RATING,710 EXISTENT GUM,710IPA EXISTENT GUM,720A PARTICULATE MATTER,720B PARTICULATE MATTER,723 PARTICULATE COUNTING  >= 4 然,723A PARTICULATE COUNTING  ISO >= 4 然,724 PARTICULATE COUNTING= 6 然,724A PARTICULATE COUNTING ISO = 6 然,726 PARTICULATE COUNTING  >= 14 然,726A PARTICULATE COUNTING  ISO>= 14 然,727 PARTICULATE COUNTING  >= 21 然,727A PARTICULATE COUNTING  ISO>= 21 然,728 PARTICULATE COUNTING  >= 25 然,728A PARTICULATE COUNTING  ISO>= 25 然,729 PARTICULATE COUNTING  >= 30 然,729A PARTICULATE COUNTING  ISO>= 30 然,730 FILTRATION TIME,750 WSIM,750A MICROSEPAROMETER RATING,750B MICROSEPAROMETER RATING,800 ANTI-OXIDANT,802 ANTIOXIDANT CONCENTRATION,801 ANTIOXIDANT ADDITIVE INJECTION POINT,821 SDA INJECTION POINT,830A FSII,831FSII INJECTION POINT,840 CORROSION INHIBITOR,841 CI INJECTION POINT,842 CORROSION INHIBITOR CONCENTRATION,910A CALCULATED CETANE INDEX,910B CALCULATED CETANE INDEX,BATCH NUMBER,CRUDE PROCESS TECH,PRODUCT,REPORT DATE,SAMPLE NUMBER,SHIPMENT NUMBER,TANK NUMBER,120 NAPHTHALENE,725IPA PARTICULATE COUNTING,725IPB PARTICULATE COUNTING,725IPC PARTICULATE COUNTING,740 WATER REACTION INTERFACE RATING,812 METAL DEACTIVATOR CONCENTRATION,811 METAL DEACTIVATOR INJECTION POINT,820 STATIC DISSIPATER,900 ELECTRICAL CONDUCTIVITY,990A FAME CONTENT,990B FAME CONTENT
3/16/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000032450,"45,066",30,,0.004,13.2,,NEG,,,,,0.0477,,,13.97,,,PASS,,,151.5,168.2,173.2,187,215.7,,242.8,1.2,0.4,,,40,,0.7959,,,,,-62.8,,3.39,46.2,43.3,,,26,1A,,,0,1,,0.8,,,0.343,,,,,,,,,,,,,6,89,,,,,,,0.121,S,,S,10.4,40.3,,14-74-8,,JP8,3/8/2014,,DLA0313,1441,,,,,1B,,,,,,
3/16/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000032451,"165,158",20,,0.004,13.2,,NEG,,,,,0.0477,,,13.97,,,PASS,,,151.5,168.2,173.2,187,215.7,,242.8,1.2,0.4,,,40,,0.7959,,,,,-62.8,,3.39,43.2,43.3,,,26,1A,,,0,1,,0.8,,,0.343,,,,,,,,,,,,,6,89,,,,,,,0.121,S,,S,10.4,40.3,,14-74-8,,JP8,3/8/2014,,DLA0313,1441,,,,,1B,,,,,,
3/17/2014,EHQ8,Non-Card CD Plant,TESORO REFINING  MARKETING COMPANY,Inland East Gulf JP8 JP4 JAA,10000032553,"10,181",,17,0.004,15,0.0003,,,,,,,0.01,,13.9,,,PASS,760,,152,173,183,208,255,21.1,292,0.6,1,40,,,,,,44.1,,-50,,,5,,43.1,,,23,1B,600A - 275C,,1,<1,,,,,0.99,,,,,,,,,,,,,5,,87,,,,,,,,,,,45.4,,,,JP8,1/23/2014,,DLA0129Z,717,1.9,,,,1,,,,,,
3/17/2014,EOLM,"OA Liam, OH (OALM)",HUSKY MARKETING AND SUPPLY COMPANY,Inland East Gulf JP8 JP4 JAA,10000032650,"1,680,317",30,,0.003,10,0,,,,0,,,,,14,,,PASS,,,153,174,181,204,246,,269,1.3,0.9,,47,,,,,44.2,,-56,,,4.7,,43.4,,,27.2,1A,600A  275C,,1,0,,1,,,0.3,,,,,,,,,,,,,10,,89,,18.8,,,,0.13,,16,,,44.1,,DDU-081-091M,100% HYDROTREATED,JP8,3/4/2014,1516227,HUS0001Z,264,0.2,,,,1,,,,390,,
3/17/2014,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10000032600,"18,694",30,,0.019,19,0.0007,,,,,,0.09,,,13.9,,,,,,140,160,170,197,246,1,268,1,0,40,,,,,0.813,42.5,,,-48,,4.6,,43,,,21,1A,600A  275C,,0,1,,1,,,0.4,,,,,,,,,,,,,5,,99,,,,,,0.08,,15.3,,,37.9,,,ATMOSPHERIC DISTILATION,JP8,3/7/2014,030814F-0273,DLA0312,F,2.5,,,,1,,,1,426,,
3/17/2014,EOTS,"OA Tuscaloosa, AL",HUNT REFINING COMPANY,Inland East Gulf JP8 JP4 JAA,10000032505,"69,957",30,,0.004,18.1,0.0007,,,,,,0,,,13.95,,,PASS,,,171,181,184,196,228,,250,0.9,0.8,52,,,,,0.7919,,,-55.7,,,3.836,47.2,43.358,,,26,1A,,,0,1,,0.5,,,0.13,,,,,,,,,,,,,4,99,,,,17.7,,,,,,,9.4,47.7,,14-09,,JP8,3/6/2014,,DLA0314,95,0.09,,,,1B,,,,,,
3/17/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000032453,"142,628",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,13.9,,,PASS,,,151,168,173,187,215,,242,1.2,0.4,,40,,,0.7959,,,,,-62,,3.39,46.2,43.3,,,26,1A,,,0,1,,0.8,,,0.343,,,,,,,,,,,,,0,,89,,,,,,,,10.4,,,40.3,,14-74-8,,JP8,3/8/2014,,DLA0314,1441,,,,,1B,,,,,,
3/17/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000032550,"7,506",17,,0.005,14.5,,NEG,,,,,0.0457,,,13.79,,,PASS,,,151.5,168.4,173.9,188.1,217,,240.1,1.3,0,,,40,,0.7954,,,,,-63.1,,3.39,46.3,43.3,,,26,1A,,,0,1,,0.8,,,0.449,,,,,,,,,,,,,5,99,,,,,,,0.121,S,,S,10.3,41,,14-71-8,,JP8,2/17/2014,,DLA0225,501,,,,,1B,,,,,,
3/17/2014,EOWN,"OA Wynnewood, OK","WYNNEWOOD ENERGY COMPANY, LLC",Inland East Gulf JP8 JP4 JAA,10000032703,"45,064",20,,0.004,13.2,,NEGATIVE,,,,,0.04,,,,,13.9,PASS,,,151,168,173,187,215,,242,1.2,0.4,,40,,,0.7959,,,,,-62,,3.39,46.2,43.3,,,26,1A,,,0,1,,1.8,,,0.343,,,,,,,,,,,,,6,,,89,,,,,0.121,,10.4,,,40.3,,14-74-8,,JP8,3/8/2014,,DLA0314,1441,,,,,1B,,,,,,
3/18/2014,EOMB,"OA Mobile, AL (OAMB)",EQUILON ENTERPRISES LLC DBA SHELL,Inland East Gulf JP8 JP4 JAA,10000032651,"2,103,194",-27,,-0.006,-16.1,-0.0007,NEGATIVE,,,,,-0.04,,,-13.9,,,PASS,,,-149,-175,-182,-202,-241,1,-264,-1,-0.6,-46,,,,,-0.802,,,49,,,,-44.9,-43.3,,,-23,1A,600A  275C,,0,1,,-0.2,,,-0.6,,,,,,,,,,,,,-5,,-99,,,,,,,,,,,-45,,350900,STRAIGHT,JP8,3/16/2014,389197,DLA0317Z,1201,-1.8,,,,1B,,,,,,
